HOME


The Paramony
An internet version of Biblical References for The Urantia Book
by Duane Faw

Key to Column Headings

1  Pg.Ppg — Refers to page numbering in Urantia Foundation editions of The Urantia Book. Paragraphs are numbered with the first full paragraph from the top of the page and are numbered sequentially down the page.
2  P:S.p — Refers to Paper number, section number within the paper, and the paragraph number within the section. The P:S.p links to the referenced paragraph of the Standardized version of The Urantia Book.
3  Key Words — The words or concepts which, in the mind of the author, connect the Bible and The Urantia Book.
4  Bible Notation — Bible book, such as 1 Corinthians, chapter, and verse numbers. The Bible notation links to the referenced book, chapter and verse of the King James translation of the Bible.
5  Class — Categorizations for references in which:
S = "Same" — Both books recite the same incident.
R = "Refer" — One book quotes from, or refers to an incident contained in, the other.
C = "Compare" — One book relates matter which, although not the same as the other, is significant to reinforce, modify or contradict the other.
1 Pg.Ppg	2 P:S.p	3 Key Words	4 Bible Book Ch:Vs	5 Class
1655:28-47	147:7.2	Discourse on fasting	Luke 5:33	S
1655:37-38	147:7.2	Children of light	Luke 16:8	C
1655:37-38	147:7.2	Children of light	John 12:36	C
1655:37-38	147:7.2	Children of light	Ephesians 5:8	C
1655:37-38	147:7.2	Children of light	1 Thessalonians 5:5	C
1656:05-09	147:7.3	Old and new wine	Luke 5:39	C
1656:07-09	147:7.3	Old and new friends	Proverbs 27:10	C
1656:14-17	147:8.2	Why do you fast?	Isaiah 58:3	S
1656:18-24	147:8.3	Why not do good?	Isaiah 58:5	S
1656:25-36	147:8.4	Light break forth	Isaiah 58:8	S
1656:43	147:8.5	Grow in grace	2 Peter 3:18	C
1660:02-03	148:4.1	Why must we be born of the spirit?	John 3:3	C
1660:31-34	148:4.7	The so-called fall of man	Romans 5:12	C
1660:31-34	148:4.7	The so-called fall of man	Genesis 3:17	C
1660:35-36	148:4.7	Cain takes wife from Nod	Genesis 4:16	S
1660:37-38	148:4.7	Sons of God take wives	Genesis 6:1	S
1660:39	148:4.8	Evil by nature, not sinful	Romans 3:23	C
1660:39	148:4.8	Evil by nature, not sinful	Ecclesiastes 7:20	C
1660:39	148:4.8	Evil by nature, not sinful	1 John 1:8	C
1660:48-49	148:4.9	Greeks: man is falling	Romans 5:12	C
1661:06	148:4.10	You are God's children	Psalms 82:6	R
1661:06-07	148:4.10	I will be Father, he will be son	2 Samuel 7:14	R
1661:07	148:4.10	I have chosen him my son	1 Chronicles 28:6	R
1661:07-09	148:4.10	I created them for my glory	Isaiah 43:6	R
1661:09-10	148:4.10	You are sons of living God+	Hosea 1:10	R
1661:10-11	148:4.10	Those with spirit, sons of God+	Romans 8:14	R
1661:33-36	148:5.3	No purposeful affliction	Hebrews 12:5	C
1662:12-14	148:5.5	Despise not chastening	Proverbs 3:11	R
1662:14	148:5.5	Lord does not afflict willingly	Lamentations 3:33	R
1662:15	148:5.5	1st pt. Before afflicted, strayed	Psalms 119:67	R
1662:15-16	148:5.5	2nd pt. Affliction good for me	Psalms 119:71	R
1662:16-17	148:5.5	1st part: I know your sorrows	Exodus 3:7	R
1662:17-18	148:5.5	2nd part: God is my refuge	Deuteronomy 33:27	R
1662:18-19	148:5.5	God is haven of rest	Psalms 9:9	R
1662:19-20	148:5.5	God does not forget the sick	Psalms 41:3	R
1662:20-22	148:5.5	He remembers you are dust	Psalms 103:13	R
1662:22-23	148:5.5	He heals the brokenhearted	Psalms 147:3	R
1662:23-24	148:5.5	He is the hope of the poor	Isaiah 25:4	R
1662:24-25	148:5.5	He gives power to faint	Isaiah 40:29	R
1662:26	148:5.5	Bruised reed He not break	Isaiah 42:3	R
1662:27-28	148:5.5	Waters of affliction, rivers	Isaiah 43:2	R
1662:28-30	148:5.5	Sent to bind up broken hearted	Isaiah 61:1	R
1662:30	148:5.5	1st pt: Correction in suffering	Job 5:17	R
1662:30-31	148:5.5	2nd pt: Affliction not from dust	Job 5:6	R
1662:38-39	148:6.2	Book of Job	Job 1:1	C
1662:40-43	148:6.2	Job: good, rich & healthy	Job 1:1	C
1662:43-45	148:6.2	Job: God blesses faithful	Deuteronomy 28:1	C
1662:43-45	148:6.2	Job: God blesses faithful	Genesis 49:25	C
1662:43-45	148:6.2	Job: God blesses faithful	Psalms 1:1	C
1662:43-45	148:6.2	Job: God blesses faithful	Proverbs 3:33	C
1662:43-45	148:6.2	Job: God blesses faithful	Proverbs 10:6	C
1662:46-47	148:6.2	No respecter of persons	Acts of the Apostles 10:34	C
1662:46-47	148:6.2	No respecter of persons	Ephesians 6:9	C
1662:46-47	148:6.2	No respecter of persons	Galatians 2:6	C
1662:46-47	148:6.2	No respecter of persons	Job 34:19	C
1662:46-47	148:6.2	No respecter of persons	Romans 2:11	C
1662:46-47	148:6.2	No respecter of persons	Sirach 35:12	C
1662:46-47	148:6.2	No respecter of persons	2 Chronicles 19:7	C
1662:46-47	148:6.2	No respecter of persons	Galatians 3:28	C
1662:46-47	148:6.2	No respecter of persons	Colossians 3:11	C
1663:02	148:6.3	Men reap what they sow	Galatians 6:7	C
1663:02	148:6.3	Men reap what they sow	Job 4:8	C
1663:10	148:6.3	I abhor myself	Job 42:6	R
1663:13-14	148:6.3	Peace passing understanding	Philippians 4:7	C
1663:15-23	148:6.4	Eliphaz, 1st friend	Job 4:1	S
1663:24-30	148:6.5	Bildad, 2nd friend	Job 8:1	S
1663:31-39	148:6.6	Job's hopelessness	Job 9:1	S
1663:48-53	148:6.8	Zophar, 3rd friend	Job 11:1	C
1664:03	148:6.8	Few of days and full of trouble	Job 14:1	R
1664:04-05	148:6.9	Eliphaz more stern	Job 15:1	S
1664:05-06	148:6.9	Bildad indignant	Job 18:1	S
1664:06	148:6.9	Zophar repeats advice	Job 20:1	S
1664:06-07	148:6.9	Job appeals to God	Job 21:16	S
1664:07-09	148:6.9	Appeals to a just God	Job 23:1	S
1664:09-11	148:6.9	Consolation of future life	Job 27:1	S
1664:11-12	148:6.9	Help only from God	Job 19:13	S
1664:12	148:6.9	Struggle between faith and doubt	Job 19:21	C
1664:15	148:6.9	My Vindicator lives	Job 19:25	R
1664:21-22	148:6.10	Speech from whirlwind	Job 38:1	S
1664:24	148:6.10	Still small voice	1 Kings 19:12	S
1664:24-25	148:6.10	This is the way	Isaiah 30:21	S
1664:25	148:6.10	God dwells within you+	1 John 4:12	C
1664:25	148:6.10	God dwells within you+	Luke 17:21	C
1664:25	148:6.10	God dwells within you+	Matthew 10:20	C
1664:25	148:6.10	God dwells within you+	Revelation 21:3	C
1664:25	148:6.10	God dwells within you+	Romans 8:9	C
1664:25	148:6.10	God dwells within you+	1 Corinthians 3:16	C
1664:25	148:6.10	God dwells within you+	1 Corinthians 6:19	C
1664:25	148:6.10	God dwells within you+	2 Corinthians 6:16	C
1664:25	148:6.10	God dwells within you+	Galatians 2:20	C
1664:25	148:6.10	God dwells within you+	Ezekiel 37:14	C
1664:25	148:6.10	God dwells within you+	Job 32:8	C
1664:25	148:6.10	God dwells within you+	Isaiah 63:10	C
1664:25	148:6.10	God dwells within you+	John 17:21	C
1664:25	148:6.10	God dwells within you+	1 John 3:24	C
1664:27-28	148:6.11	Father does not willingly afflict	Lamentations 3:33	C
1665:07-26	148:7.2	Man with withered hand	Matthew 12:9	S
1665:07-26	148:7.2	Man with withered hand	Mark 3:1	S
1665:07-26	148:7.2	Man with withered hand	Luke 6:6	S
1665:27-34	148:7.3	Hand made whole	Matthew 12:13	S
1665:27-34	148:7.3	Hand made whole	Mark 3:5	S
1665:27-34	148:7.3	Hand made whole	Luke 6:10	S
1666:30-38	148:9.1	Preaching in Galilee	Mark 2:1	S
1666:30-38	148:9.1	Preaching in Galilee	Luke 5:17	S
1666:39-58	148:9.2	Paralytic healed	Mark 2:3	S
1666:39-58	148:9.2	Paralytic healed	Luke 5:18	S
1666:39-58	148:9.2	Paralytic healed	Matthew 9:2	S
1667:13-27	148:9.2	Pharisees provoked	Matthew 9:3	S
1667:13-27	148:9.2	Pharisees provoked	Mark 2:6	S
1667:13-27	148:9.2	Pharisees provoked	Luke 5:21	S
1667:16-27	148:9.3	Jesus responds by healing	Matthew 9:4	S
1667:16-27	148:9.3	Jesus responds by healing	Mark 2:8	S
1667:16-27	148:9.3	Jesus responds by healing	Luke 5:22	S
1669:09-16	149:1.2	Healings	Mark 3:7	S
1669:16	149:1.2	Tell no man	Matthew 9:30	S
1669:16	149:1.2	Tell no man	Mark 5:43	S
1669:16	149:1.2	Tell no man	Mark 7:36	S
1669:16	149:1.2	Tell no man	Luke 5:14	S
1669:16	149:1.2	Tell no man	Luke 8:56	S
1669:16	149:1.2	Tell no man	Matthew 12:16	S
1669:16	149:1.2	Tell no man	Mark 1:43	S
1669:16	149:1.2	Tell no man	Luke 9:21	S
1669:16	149:1.2	Tell no man	Mark 8:30	S
1669:16	149:1.2	Tell no man	Mark 9:9	S
1669:16	149:1.2	Tell no man	Matthew 8:4	S
1669:16	149:1.2	Tell no man	Matthew 16:20	S
1669:20	149:1.3	Power gone forth	Mark 5:30	S
1669:20	149:1.3	Power gone forth	Luke 6:19	S
1669:20	149:1.3	Power gone forth	Luke 8:46	S
1671:10-11	149:2.6	Revealed light of life	Isaiah 9:2	C
1671:10-11	149:2.6	Revealed light of life	Matthew 4:16	C
1671:10-11	149:2.6	Revealed light of life	John 8:12	C
1671:23-24	149:2.8	Women disciples	Luke 8:1	S
1671:23-24	149:2.8	Women disciples	Luke 23:27	S
1671:23-24	149:2.8	Women disciples	Luke 24:10	S
1671:23-24	149:2.8	Women disciples	Acts of the Apostles 1:14	S
1671:23-24	149:2.8	Women disciples	Acts of the Apostles 5:14	S
1671:23-24	149:2.8	Women disciples	Matthew 27:55	S
1671:23-24	149:2.8	Women disciples	Mark 15:40	S
1671:35-38	149:2.10	Disasters not judgments	Luke 13:1	S
1671:38-39	149:2.10	Error of slavish worship	Matthew 23:1	S
1671:40-41	149:2.10	Sons of living God+	Galatians 4:5	C
1671:40-41	149:2.10	Sons of living God+	John 1:12	C
1671:40-41	149:2.10	Sons of living God+	John 11:52	C
1671:40-41	149:2.10	Sons of living God+	Philippians 2:15	C
1671:40-41	149:2.10	Sons of living God+	Romans 8:14	C
1671:40-41	149:2.10	Sons of living God+	Romans 9:26	C
1671:40-41	149:2.10	Sons of living God+	1 John 3:1	C
1671:40-41	149:2.10	Sons of living God+	Acts of the Apostles 17:28	C
1671:40-41	149:2.10	Sons of living God+	Ephesians 1:5	C
1671:40-41	149:2.10	Sons of living God+	Galatians 3:26	C
1671:40-41	149:2.10	Sons of living God+	Isaiah 56:5	C
1671:40-41	149:2.10	Sons of living God+	Luke 20:36	C
1671:40-41	149:2.10	Sons of living God+	Matthew 5:9	C
1671:40-41	149:2.10	Sons of living God+	Revelation 21:7	C
1671:40-41	149:2.10	Sons of living God+	1 John 5:2	C
1671:40-41	149:2.10	Sons of living God+	2 Corinthians 6:18	C
1671:40-41	149:2.10	Sons of living God+	Hebrews 12:5	C
1671:40-41	149:2.10	Sons of living God+	John 20:17	C
1671:40-41	149:2.10	Sons of living God+	Psalms 2:7	C
1671:40-41	149:2.10	Sons of living God+	1 Chronicles 22:10	C
1671:40-41	149:2.10	Sons of living God+	2 Samuel 7:14	C
1671:42-43	149:2.11	Clean hearts	Matthew 15:10	C
1671:42-43	149:2.11	Clean hearts	Mark 7:14	C
1672:03-05	149:2.12	Three men refused personal call	Matthew 8:18	S
1672:03-05	149:2.12	Three men refused personal call	Luke 9:57	S
1672:03-05	149:2.12	Three men refused personal call	Matthew 19:16	S
1672:03-05	149:2.12	Three men refused personal call	Mark 10:17	S
1672:03-05	149:2.12	Three men refused personal call	Luke 18:18	S
1672:08	149:2.12	Men called him Master+	Matthew 8:19	C
1672:08	149:2.12	Men called him Master+	Mark 4:38	C
1672:08	149:2.12	Men called him Master+	Luke 3:12	C
1672:08	149:2.12	Men called him Master+	John 4:31	C
1673:12-14	149:4.2	Anger, a material manifestation	Ephesians 4:30	C
1673:12-14	149:4.2	Anger, a material manifestation	Colossians 3:8	C
1673:12-14	149:4.2	Anger, a material manifestation	James 1:20	C
1673:17	149:4.2	Wrath kills foolish man	Job 5:2	R
1673:18	149:4.2	Man tears self in anger	Job 18:4	R
1673:18-19	149:4.2	Slow of wrath, understands	Proverbs 14:29	R
1673:19	149:4.2	Hasty temper / folly	Proverbs 14:29	R
1673:20	149:4.2	Soft answer turns away wrath	Proverbs 15:1	R
1673:20	149:4.2	Grievous words stir up anger	Proverbs 15:1	R
1673:21	149:4.2	Discretion defers anger	Proverbs 19:11	R
1673:21-22	149:4.2	No control over self	Proverbs 25:28	R
1673:22	149:4.2	Wrath is cruel, outrageous	Proverbs 27:4	R
1673:22-23	149:4.2	Angry men stir up strife	Proverbs 29:22	R
1673:24	149:4.2	Anger rests in bosom of fools	Ecclesiastes 7:9	R
1674:26-27	149:5.2	Spirit of man is candle of Lord	Proverbs 20:27	R
1674:27-28	149:5.2	Goodly heritage	Psalms 16:6	R
1674:28-29	149:5.2	Little of righteous / better	Psalms 37:16	R
1674:29-30	149:5.2	Good man satisfied w/in self	Proverbs 14:14	R
1674:30-31	149:5.2	Merry heart, cheerful face	Proverbs 15:13	R
1674:30-31	149:5.2	Merry heart, continual feast	Proverbs 15:15	R
1674:31-33	149:5.2	Better little with reverence	Proverbs 15:16	R
1674:33-34	149:5.2	Better little with righteousness	Proverbs 16:8	R
1674:34-35	149:5.2	Merry heart is good medicine	Proverbs 17:22	R
1674:35-36	149:5.2	Better is some with composure	Ecclesiastes 4:6	R
1674:42-43	149:5.3	Wicked flee when none pursue	Proverbs 28:1	R
1674:43-44	149:5.3	Wicked like troubled sea	Isaiah 57:20	R
1675:06	149:6.1	Fear the Lord+	Psalms 34:9	R
1675:18-19	149:6.3	Meanings of fear+	Leviticus 19:14	C
1675:18-19	149:6.3	Meanings of fear+	Psalms 22:23	C
1675:18-19	149:6.3	Meanings of fear+	Proverbs 1:7	C
1675:18-19	149:6.3	Meanings of fear+	Jeremiah 23:4	C
1675:31-32	149:6.4	Goodness of God / repentance	Romans 2:4	C
1675:43-44	149:6.5	Fear of God begins wisdom	Proverbs 1:7	R
1675:43-44	149:6.5	Fear of God begins wisdom	Psalms 111:10	R
1676:13-14	149:6.7	Fear God whole Duty of man	Ecclesiastes 12:13	R
1676:17-18	149:6.8	We are His sons+	Acts of the Apostles 17:28	R
1676:17-18	149:6.8	We are His sons+	Ephesians 1:5	C
1676:17-18	149:6.8	We are His sons+	Galatians 3:26	C
1676:17-18	149:6.8	We are His sons+	Galatians 4:5	C
1676:17-18	149:6.8	We are His sons+	Isaiah 56:5	C
1676:17-18	149:6.8	We are His sons+	John 1:12	C
1676:17-18	149:6.8	We are His sons+	John 11:52	C
1676:17-18	149:6.8	We are His sons+	Luke 20:36	C
1676:17-18	149:6.8	We are His sons+	Matthew 5:9	C
1676:17-18	149:6.8	We are His sons+	Philippians 2:15	C
1676:17-18	149:6.8	We are His sons+	Revelation 21:7	C
1676:17-18	149:6.8	We are His sons+	Romans 8:14	C
1676:17-18	149:6.8	We are His sons+	Romans 9:26	C
1676:17-18	149:6.8	We are His sons+	1 John 3:1	C
1676:17-18	149:6.8	We are His sons+	1 John 5:2	C
1676:17-18	149:6.8	We are His sons+	2 Corinthians 6:18	C
1676:17-18	149:6.8	We are His sons+	Hebrews 12:5	C
1676:17-18	149:6.8	We are His sons+	Psalms 2:7	C
1676:17-18	149:6.8	We are His sons+	1 Chronicles 22:10	C
1676:17-18	149:6.8	We are His sons+	2 Samuel 7:14	C
1676:17-18	149:6.8	God is our Father+	Colossians 1:2	C
1676:17-18	149:6.8	God is our Father+	Ephesians 1:2	C
1676:17-18	149:6.8	God is our Father+	Luke 6:36	C
1676:17-18	149:6.8	God is our Father+	Philippians 1:2	C
1676:17-18	149:6.8	God is our Father+	1 Corinthians 1:3	C
1676:17-18	149:6.8	God is our Father+	1 Thessalonians 1:1	C
1676:17-18	149:6.8	God is our Father+	1 Timothy 1:2	C
1676:17-18	149:6.8	God is our Father+	2 Corinthians 1:2	C
1676:17-18	149:6.8	God is our Father+	2 Thessalonians 1:1	C
1676:17-18	149:6.8	God is our Father+	Philemon 1:2	C
1676:17-18	149:6.8	God is our Father+	Romans 1:7	C
1676:17-18	149:6.8	God is our Father+	John 20:17	C
1676:17-18	149:6.8	God is our Father+	Jeremiah 3:19	C
1676:17-18	149:6.8	God is our Father+	Luke 11:2	C
1676:17-18	149:6.8	God is our Father+	Mark 11:25	C
1676:17-18	149:6.8	God is our Father+	Matthew 5:9	C
1676:17-18	149:6.8	God is our Father+	Matthew 6:1	C
1676:17-18	149:6.8	God is our Father+	Matthew 6:26	C
1676:17-18	149:6.8	God is our Father+	Matthew 7:11	C
1676:17-18	149:6.8	God is our Father+	2 Samuel 7:14	C
1676:17-18	149:6.8	God is our Father+	2 Corinthians 6:18	C
1676:17-18	149:6.8	God is our Father+	1 Chronicles 22:10	C
1676:17-18	149:6.8	God is our Father+	Matthew 18:14	C
1676:17-18	149:6.8	God is our Father+	Matthew 23:9	C
1676:17-18	149:6.8	God is our Father+	Psalms 89:26	C
1676:17-18	149:6.8	God is our Father+	Romans 8:14	C
1676:17-18	149:6.8	God is our Father+	Galatians 1:4	C
1676:17-18	149:6.8	God is our Father+	Galatians 4:6	C
1676:45	149:6.11	Walk humbly with God	Micah 6:8	C
1676:46-47	149:6.11	Contrite mind & humble spirit	Isaiah 57:15	C
1676:48-52	149:6.11	Childlike faith	Matthew 18:2	C
1676:48-52	149:6.11	Childlike faith	Mark 9:33	C
1676:48-52	149:6.11	Childlike faith	Luke 18:15	C
1676:48-52	149:6.11	Childlike faith	Mark 10:13	C
1676:48-52	149:6.11	Childlike faith	Luke 9:46	C
1676:48-52	149:6.11	Childlike faith	Matthew 19:13	C
1677:03-04	149:6.12	Near in mouth, far in heart	Jeremiah 12:2	R
1677:05-07	149:6.12	Priests teach for hire	Micah 3:11	R
1677:08-09	149:6.12	Speak peace, but mischief	Psalms 28:3	R
1677:09-10	149:6.12	Flatter with lips	Psalms 5:9	R
1677:09-10	149:6.12	Flatter with lips	Psalms 12:2	R
1677:09-10	149:6.12	Flatter with lips	Psalms 78:36	R
1677:11	149:6.12	Wounded by trusted friend	Zechariah 13:6	R
1678:09	150:0.2	Annointing sick with oil	Mark 6:13	C
1678:09	150:0.2	Annointing sick with oil	James 5:14	C
1678:19-21	150:0.4	Third preaching tour	Luke 8:1	S
1678:19-21	150:0.4	Third preaching tour	Matthew 9:35	S
1678:28-48	150:1.1	The Women's Corps	Luke 8:2	S
1679:11-15	150:1.2	Financing the women	Luke 8:3	S
1679:23-25	150:1.3	Equality of persons	Galatians 3:28	R
1679:23-25	150:1.3	Equality of persons	Acts of the Apostles 10:34	C
1679:23-25	150:1.3	Equality of persons	Ephesians 6:9	C
1679:23-25	150:1.3	Equality of persons	Galatians 2:6	C
1679:23-25	150:1.3	Equality of persons	Job 34:19	C
1679:23-25	150:1.3	Equality of persons	Romans 2:11	C
1679:23-25	150:1.3	Equality of persons	Sirach 35:12	C
1679:23-25	150:1.3	Equality of persons	2 Chronicles 19:7	C
1679:23-25	150:1.3	Equality of persons	Colossians 3:11	C
1679:36-38	150:1.3	Paul's view of women	1 Corinthians 11:1	C
1679:36-38	150:1.3	Paul's view of women	1 Corinthians 14:34	C
1679:36-38	150:1.3	Paul's view of women	1 Peter 3:1	C
1679:36-38	150:1.3	Paul's view of women	1 Timothy 2:9	C
1680:21-24	150:2.3	Faithful women	Matthew 27:55	S
1680:21-24	150:2.3	Faithful women	Mark 15:40	S
1680:21-24	150:2.3	Faithful women	Luke 23:49	S
1680:21-24	150:2.3	Faithful women	Luke 8:2	S
1680:21-24	150:2.3	Faithful women	Luke 24:10	S
1680:21-24	150:2.3	Faithful women	John 19:25	S
1680:28-29	150:3.1	Joanna, wife of Chuza	Luke 8:3	S
1680:34-36	150:3.2	Star superstitions	Matthew 2:1	C
1681:28-29	150:4.1	Apostles gather	Luke 9:1	S
1681:28-29	150:4.1	Apostles gather	Mark 3:14	S
1681:28-29	150:4.1	Apostles gather	Matthew 10:1	S
1681:29-32	150:4.1	Harvest plentiful, laborers few	Luke 10:2	S
1681:29-32	150:4.1	Harvest plentiful, laborers few	Matthew 9:37	S
1681:32-33	150:4.1	Send out apostles two by two	Mark 6:7	S
1681:32-33	150:4.1	Send out apostles two by two	Luke 10:1	S
1681:36-38	150:4.1	Apostles named	Matthew 10:2	S
1681:36-38	150:4.1	Apostles named	Mark 3:16	S
1681:36-38	150:4.1	Apostles named	Luke 6:14	S
1681:36-38	150:4.1	Apostles named	Acts of the Apostles 1:13	S
1681:40-42	150:4.2	Preach to House of Israel	Matthew 10:5	S
1681:43-44	150:4.2	Master & servant relationship	Matthew 10:24	S
1681:43-44	150:4.2	Master & servant relationship	Luke 6:40	C
1681:43-44	150:4.2	Master & servant relationship	John 13:16	C
1681:43-44	150:4.2	Master & servant relationship	John 15:20	C
1681:45-47	150:4.2	Beelzebub	Matthew 10:25	S
1681:47-54	150:4.2	Nothing hid that shall not be known	Matthew 10:26	S
1681:47-54	150:4.2	Nothing hid that shall not be known	Luke 12:2	S
1682:08-11	150:4.3	Sparrows fall / hairs numbered	Luke 12:6	S
1682:08-11	150:4.3	Sparrows fall / hairs numbered	Matthew 10:29	S
1682:11-18	150:4.3	No peace, but sorrow on earth	Luke 12:51	S
1682:11-20	150:4.3	No peace, but sorrow on earth	Matthew 10:34	S
1682:19-20	150:4.3	Love the gospel more than family	Luke 14:26	S
1682:21-23	150:4.4	Apostles leave to teach	Luke 9:6	S
1682:21-23	150:4.4	Apostles leave to teach	Mark 6:12	S
1682:32	150:5.2	Gospel of the kingdom	Matthew 4:23	C
1682:32	150:5.2	Gospel of the kingdom	Matthew 9:35	C
1682:32	150:5.2	Gospel of the kingdom	Matthew 24:14	C
1682:32	150:5.2	Gospel of the kingdom	Mark 1:14	C
1682:32-33	150:5.2	Salvation: believe, accept	John 1:12	C
1682:32-33	150:5.2	Salvation: believe, accept	Romans 3:21	C
1682:34-35	150:5.2	In Lord I have righteousness	Isaiah 45:24	R
1682:35-36	150:5.2	Arms enfold people	Isaiah 51:5	R
1682:36-38	150:5.2	Soul joyful in love of God	Isaiah 61:10	R
1682:39	150:5.2	The Lord our righteousness	Jeremiah 23:6	R
1682:39	150:5.2	The Lord our righteousness	Jeremiah 33:16	R
1682:39-41	150:5.2	Clothe son with robe of divine	Zechariah 3:4	R
1682:39-41	150:5.2	Clothe son with robe of divine	Isaiah 61:10	R
1682:41-42	150:5.2	Just shall live by faith	Habakkuk 2:4	R
1682:44-46	150:5.3	Salvation, gift revealed by Sons	Ephesians 2:8	S
1682:46	150:5.3	Saved by faith+	Mark 16:16	S
1682:46	150:5.3	Saved by faith+	Galatians 3:24	S
1682:46	150:5.3	Saved by faith+	John 3:36	S
1682:46	150:5.3	Saved by faith+	Acts of the Apostles 13:39	S
1682:46	150:5.3	Saved by faith+	Romans 5:1	S
1683:36-43	150:6.3	Return to Nazareth	Mark 6:1	S
1683:36-43	150:6.3	Return to Nazareth	Luke 4:16	S
1684:37-38	150:8.1	Crowd at Synagogue	Matthew 13:54	S
1684:37-38	150:8.1	Crowd at Synagogue	Mark 6:2	S
1684:37-38	150:8.1	Crowd at Synagogue	Luke 4:16	S
1685:45-49	150:8.8	Jesus handed scroll	Luke 4:17	S
1685:50-56	150:8.8	Commandment not hidden	Deuteronomy 30:11	R
1686:07-11	150:8.9	Jesus reads prophets	Luke 4:17	S
1686:08-11	150:8.9	Spirit of Lord is upon me	Isaiah 61:1	R
1686:12-16	150:8.10	People pleased	Luke 4:20	S
1686:14	150:8.10	Today are scriptures fulfilled	Luke 4:21	R
1686:15-16	150:8.10	People astonished	Matthew 13:54	S
1686:15-16	150:8.10	People astonished	Mark 6:2	S
1686:28-35	150:9.1	Opposition grows	Matthew 13:55	S
1686:28-35	150:9.1	Opposition grows	Mark 6:3	S
1686:28-35	150:9.1	Opposition grows	Luke 4:22	S
1686:33-35	150:9.1	Jesus quotes "scripture" (???)	John 4:44	S
1686:40-44	150:9.2	No "miracles"	Matthew 13:58	S
1686:40-44	150:9.2	No "miracles"	Mark 6:5	S
1686:45-62	150:9.3	Jesus escapes mob	Luke 4:28	S
1687:03	150:9.3	Soft answer vs. wrath	Proverbs 15:1	C
1687:16-17	150:9.4	Return to Capernaum	Luke 4:31	S
1688:21-36	151:1.1	Crowd around boat	Matthew 13:1	S
1688:21-36	151:1.1	Crowd around boat	Mark 4:1	S
1688:27-29	151:1.1	Crowd around boat	Luke 8:4	S
1688:37-46	151:1.2	Parable of sower	Matthew 13:3	S
1688:37-46	151:1.2	Parable of sower	Mark 4:3	S
1688:37-46	151:1.2	Parable of sower	Luke 8:5	S
1689:09-14	151:1.3	Disciples ask meaning	Matthew 13:10	S
1689:09-14	151:1.3	Disciples ask meaning	Mark 4:10	S
1689:09-14	151:1.3	Disciples ask meaning	Luke 8:9	S
1689:15-31	151:1.4	Jesus explains why parables	Matthew 13:11	S
1689:15-31	151:1.4	Jesus explains why parables	Mark 4:11	S
1689:15-31	151:1.4	Jesus explains why parables	Luke 8:10	S
1689:21-22	151:1.4	See without seeing, etc	Isaiah 6:9	S
1689:21-22	151:1.4	See without seeing, etc	Isaiah 44:18	S
1689:21-22	151:1.4	See without seeing, etc	Acts of the Apostles 28:26	S
1689:21-22	151:1.4	See without seeing, etc	John 12:40	S
1689:21-22	151:1.4	See without seeing, etc	Romans 11:8	S
1689:22-24	151:1.4	More given to more, less to less	Matthew 25:29	S
1689:22-24	151:1.4	More given to more, less to less	Luke 19:26	S
1689:22-24	151:1.4	More given to more, less to less	Mark 4:25	S
1689:22-24	151:1.4	More given to more, less to less	Matthew 13:12	S
1689:29-31	151:1.4	Eyes and ears closed	Isaiah 6:10	R
1689:46-64	151:2.2	Peter's interpretation	Matthew 13:18	S
1689:46-64	151:2.2	Peter's interpretation	Mark 4:14	S
1689:46-64	151:2.2	Peter's interpretation	Luke 8:11	S
1690:18-38	151:2.3	Nathaniel's interpretation	Matthew 13:18	C
1690:18-38	151:2.3	Nathaniel's interpretation	Mark 4:14	C
1690:18-38	151:2.3	Nathaniel's interpretation	Luke 8:11	S
1692:07-10	151:3.1	Let light shine with discretion	Matthew 5:15	C
1692:07-10	151:3.1	Let light shine with discretion	Mark 4:21	S
1692:07-10	151:3.1	Let light shine with discretion	Luke 8:16	S
1692:07-10	151:3.1	Let light shine with discretion	Luke 11:33	C
1692:10-12	151:3.1	Nothing hid,all will come to light	Matthew 10:26	S
1692:10-12	151:3.1	Nothing hid,all will come to light	Mark 4:22	S
1692:10-12	151:3.1	Nothing hid,all will come to light	Luke 8:17	S
1692:10-12	151:3.1	Nothing hid,all will come to light	Luke 12:2	S
1692:15-16	151:3.1	He who has is given more	Matthew 13:12	S
1692:15-16	151:3.1	He who has is given more	Matthew 25:29	C
1692:15-16	151:3.1	He who has is given more	Luke 19:26	C
1692:15-16	151:3.1	He who has is given more	Mark 4:25	S
1693:20-27	151:3.15	2nd parable of sower	Mark 4:26	S
1693:31-43	151:4.1	3rd parable of sower	Matthew 13:24	S
1693:44-48	151:4.2	Parable of mustard seed	Matthew 13:31	S
1693:44-48	151:4.2	Parable of mustard seed	Mark 4:30	S
1693:44-48	151:4.2	Parable of mustard seed	Luke 13:18	S
1694:03-05	151:4.3	Parable of leaven	Matthew 13:33	S
1694:03-05	151:4.3	Parable of leaven	Luke 13:20	S
1694:06-08	151:4.4	Parable of hidden treasure	Matthew 13:44	S
1694:09-11	151:4.5	Parable of pearl of great price	Matthew 13:45	S
1694:12-15	151:4.6	Parable of sweep net, fish	Matthew 13:47	S
1694:16-19	151:4.7	Many other parables	Mark 4:33	S
1694:21-25	151:5.1	Crossing to other side	Matthew 8:18	S
1694:21-25	151:5.1	Crossing to other side	Mark 4:35	S
